operatorname;theme;indicator;transportmode;transportsubmode;id_line;name_line;trimester;year;percent_result;occurrence_result;target_reference_contract;penality
SNCF;Information voyageurs;Information voyageurs  statique en situation normale en gare et station;Train;;C01738;N;T1;2022;95.4;;98.0;Non
SNCF;Information voyageurs;Information voyageurs  statique en situation normale en gare et station;RER;;C01742;A;T2;2022;100.0;;98.0;Non
SNCF;Information voyageurs;Information voyageurs  statique en situation normale en gare et station;RER;;C01743;B;T2;2022;100.0;;98.0;Non
SNCF;Information voyageurs;Information voyageurs  statique en situation normale en gare et station;RER;;C01729;E;T2;2022;96.8;;98.0;Non
SNCF;Information voyageurs;Information voyageurs  statique en situation normale en gare et station;Train;;C01736;K;T3;2022;100.0;;98.0;Non
SNCF;Information voyageurs;Information voyageurs  statique en situation normale en gare et station;Train;;C01737;L;T3;2022;94.2;;98.0;Non
SNCF;Information voyageurs;Information voyageurs  statique en situation normale en gare et station;Train;;C01738;N;T3;2022;96.1;;98.0;Non
SNCF;Information voyageurs;Information voyageurs  statique en situation normale en gare et station;Tramtrain;;C01843;T4;T3;2022;100.0;;98.0;Non
SNCF;Information voyageurs;Information voyageurs  statique en situation normale en gare et station;RER;;C01728;D;T4;2022;98.0;;98.0;Non
SNCF;Information voyageurs;Information voyageurs  statique en situation normale en gare et station;Train;;C01730;H;T4;2022;98.4;;98.0;Non
SNCF;Information voyageurs;Information voyageurs  statique en situation normale en gare et station;Tramtrain;;C01843;T4;T4;2022;100.0;;98.0;Non
SNCF;Information voyageurs;Information voyageurs  statique en situation normale en gare et station;Tramtrain;;C01999;T11;T4;2022;100.0;;98.0;Non
SNCF;Elévatique;Arrêt au trottoir des véhicules;Bus;;;Noctilien;Global;2022;100.0;;98.0;Non
SNCF;Information voyageurs;Information voyageurs en situation perturbée prévue;Bus;;;Noctilien;Global;2022;96.8;;97.0;Non
RATP;Accessibilité;Arrêt au trottoir;Bus;Bus Paris;;;Global;2022;99.7;;99.5;Non
RATP;Ventes et Validations;Disponibilité des équipements de distribution;Bus;Bus en site propre;;TVM,393;Global;2022;95.1;;96.0;Non
SNCF;Information voyageurs;Information voyageurs statique en situation normale à bord;Tramtrain;;C01999;T11;T1;2022;91.7;;98.0;Non
SNCF;Information voyageurs;Information voyageurs statique en situation normale à bord;RER;;C01727;C;T2;2022;100.0;;98.0;Non
SNCF;Information voyageurs;Information voyageurs statique en situation normale à bord;Train;;C01739;P;T2;2022;98.6;;98.0;Non
SNCF;Information voyageurs;Information voyageurs statique en situation normale à bord;Tramtrain;;C01843;T4;T2;2022;87.5;;98.0;Non
SNCF;Information voyageurs;Information voyageurs statique en situation normale à bord;RER;;C01729;E;T3;2022;98.57142857142858;;98.0;Non
SNCF;Information voyageurs;Information voyageurs statique en situation normale à bord;Train;;C01739;P;T3;2022;94.73684210526315;;98.0;Non
SNCF;Information voyageurs;Information voyageurs statique en situation normale à bord;Train;;C01740;R;T3;2022;100.0;;98.0;Non
SNCF;Information voyageurs;Information voyageurs statique en situation normale à bord;RER;;C01728;D;T4;2022;96.0;;98.0;Non
SNCF;Information voyageurs;Information voyageurs statique en situation normale à bord;Train;;C01730;H;T4;2022;100.0;;98.0;Non
SNCF;Information voyageurs;Information voyageurs statique en situation normale à bord;Train;;C01740;R;T4;2022;100.0;;98.0;Non
SNCF;Information voyageurs;Information voyageurs statique en situation normale à bord;Tramtrain;;C01843;T4;T4;2022;58.3;;98.0;Non
RATP;Accessibilité;Disponibilité des palettes UFR;Bus;Bus Paris;;;Global;2022;99.0;;97.5;Non
RATP;Information voyageurs;Information dynamique en situation normale à bord des véhicules;Bus;Bus petite couronne;;;Global;2022;89.0;;93.0;Non
RATP;Information voyageurs;Information dynamique en situation normale aux points d'arrêts;Bus;Bus petite couronne;;;Global;2022;90.0;;96.0;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;RER;;C01729;E;T1;2022;97.6;;98.0;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;Train;;C01731;J;T1;2022;97.6;;98.0;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;Train;;C01736;K;T1;2022;98.9;;98.0;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;Train;;C01740;R;T1;2022;98.1;;98.0;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;Tramtrain;;C01999;T11;T1;2022;98.1;;98.0;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;RER;;C01742;A;T2;2022;95.8;;98.0;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;RER;;C01743;B;T2;2022;98.8;;98.0;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;RER;;C01728;D;T2;2022;97.7;;98.0;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;RER;;C01729;E;T2;2022;97.4;;98.0;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;Train;;C01731;J;T2;2022;97.8;;98.0;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;Train;;C01737;L;T2;2022;97.2;;98.0;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;Train;;C01738;N;T2;2022;98.1;;98.0;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;Tramtrain;;C01843;T4;T2;2022;98.8;;98.0;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;Train;;C01736;K;T3;2022;96.9;;98.0;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;Train;;C01741;U;T3;2022;98.6;;98.0;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;RER;;C01743;B;T4;2022;98.0;;98.0;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;RER;;C01727;C;T4;2022;98.1;;98.0;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;Train;;C01730;H;T4;2022;97.8;;98.0;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;Train;;C01736;K;T4;2022;98.2;;98.0;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;Train;;C01738;N;T4;2022;97.8;;98.0;Non
